State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Male_Workers,Female_Workers,Hindus,Muslims,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,sex_ration,lieracy_rate,sex_ratio
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,842178,859520,1147623,1712,13306,4045,488610,404404,1519384,38542,530506,362508,808684,257785,459796,19245,156188,102.0,67.0,102.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,699340,686541,549926,1158,8516,3102,365928,287969,1318869,58222,525791,128106,731984,287704,267196,7451,91546,98.0,40.0,98.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,799236,776126,939769,2109,13755,5740,453887,333093,1505745,37590,511287,275693,788382,253602,358157,11849,163372,97.0,60.0,97.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,926843,776162,1094917,1166,14368,4463,455775,64993,1595400,66776,422111,98657,1182237,231185,158266,9838,121479,84.0,64.0,84.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,1236130,1134931,1660690,40788,94729,60383,644960,222497,1755861,525434,706036,161421,1503604,73346,105195,24732,664184,92.0,70.0,92.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,388504,369343,408679,986,5058,2142,211925,116414,552526,180840,274900,53439,429508,67799,156295,8077,96168,95.0,54.0,95.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,936121,826254,943033,1880,15567,6206,481518,270279,1676918,70351,553862,197935,1010578,302228,238364,26390,184815,88.0,54.0,88.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1064468,1026454,1294198,3588,20034,8235,582263,375721,1923920,100692,673845,284139,1132938,283111,422668,14585,237620,96.0,62.0,96.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,661873,602346,747715,1432,10504,3031,367711,206884,1186420,47966,389993,184602,689624,114611,250165,67383,142436,91.0,59.0,91.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,420157,366597,491445,616,5251,2897,225662,95498,747693,28483,247229,73931,465594,152903,93744,6839,67674,87.0,62.0,87.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,805359,758356,925369,3518,16523,9017,451501,291175,1376591,174259,528526,214150,821039,260222,310606,11816,160032,94.0,59.0,94.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,1112725,1073068,1077338,2388,18626,8080,597079,430895,2051219,116202,783019,244955,1157819,385522,437437,15830,189185,96.0,49.0,96.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,351913,352611,378714,554,6447,1291,203383,186542,605435,6736,250137,139788,314599,150084,190962,7958,40921,100.0,54.0,100.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,649362,592157,653980,2482,11740,5968,335454,179443,1172248,49203,353671,161226,726622,213949,175615,12079,113254,91.0,53.0,91.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1090327,941709,1357210,15779,46454,21313,548820,136491,1835299,141735,559845,125466,1346725,130586,120348,22592,411785,86.0,67.0,86.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,294838,275627,352550,986,5376,3556,156852,74127,527462,38640,163781,67198,339486,68019,101256,6459,55245,93.0,62.0,93.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,648725,592625,810644,2871,14456,7335,345435,132647,1175203,52269,361648,116434,763268,116440,181967,9982,169693,91.0,65.0,91.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,1699627,1577070,2309130,48691,111478,64865,939055,329140,2728225,415142,1137251,130944,2008502,150907,185528,43584,888176,93.0,70.0,93.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,1277278,1186011,1756468,20443,58601,26487,705970,299654,2159065,203652,744287,261337,1457665,106882,283636,69946,545160,93.0,71.0,93.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,515023,510025,352081,744,5591,2215,265489,249632,960925,15733,370641,144480,509927,329175,115649,5132,65165,99.0,34.0,99.0
